name;summary;description;category;tags;links;icon_image_links
VLC;Media player;Plays almost any video/audio format.;Productivity;media,player;https://www.videolan.org/vlc/;https://logo.clearbit.com/videolan.org
7-Zip;File archiver;High-compression file utility.;Productivity;compression,tools;https://www.7-zip.org/;https://logo.clearbit.com/7-zip.org
Bitwarden;Password manager;Open-source and secure.;Productivity;security,passwords;https://bitwarden.com/;https://logo.clearbit.com/bitwarden.com
KeePass;Password vault;Local, encrypted password storage.;Productivity;security,passwords;https://keepass.info/;https://logo.clearbit.com/keepass.info
Trello;Kanban boards (free tier);Organize tasks visually.;Productivity;kanban,tasks;https://trello.com/;https://logo.clearbit.com/trello.com
Notion;Workspace (free tier);Notes, docs, and databases.;Productivity;notes,collaboration;https://www.notion.so/;https://logo.clearbit.com/notion.so
Obsidian;Markdown notes;Local-first knowledge base.;Productivity;notes,markdown;https://obsidian.md/;https://logo.clearbit.com/obsidian.md
Zotero;Reference manager;Collect and cite research.;Productivity;research,citations;https://www.zotero.org/;https://logo.clearbit.com/zotero.org
Calibre;E-book manager;Organize and convert e-books.;Productivity;ebooks,library;https://calibre-ebook.com/;https://logo.clearbit.com/calibre-ebook.com
Sumatra PDF;PDF reader;Lightweight and fast.;Productivity;pdf,reader;https://www.sumatrapdfreader.org/;https://logo.clearbit.com/sumatrapdfreader.org
Greenshot;Screenshot tool;Capture and annotate screenshots.;Productivity;screenshots,tools;https://getgreenshot.org/;https://logo.clearbit.com/getgreenshot.org
ShareX;Screen capture;Advanced screenshot and recording.;Productivity;screenshots,recording;https://getsharex.com/;https://logo.clearbit.com/getsharex.com
WinSCP;SFTP/FTP client;Transfer files securely.;Productivity;ftp,file-transfer;https://winscp.net/;https://logo.clearbit.com/winscp.net
FileZilla;FTP client;Open-source file transfers.;Productivity;ftp,file-transfer;https://filezilla-project.org/;https://logo.clearbit.com/filezilla-project.org
Thunderbird;Email client;Manage multiple email accounts.;Productivity;email,client;https://www.thunderbird.net/;https://logo.clearbit.com/thunderbird.net
Signal;Encrypted messaging;Private chats and calls.;Productivity;messaging,security;https://signal.org/;https://logo.clearbit.com/signal.org
ProtonMail;Secure email;End-to-end encrypted emails.;Productivity;email,security;https://proton.me/mail;https://logo.clearbit.com/proton.me
Joplin;Note-taking app;Markdown notes with sync.;Productivity;notes,markdown;https://joplinapp.org/;https://logo.clearbit.com/joplinapp.org
Standard Notes;Encrypted notes;Simple, private note-taking.;Productivity;notes,security;https://standardnotes.com/;https://logo.clearbit.com/standardnotes.com
